Title,US Gross,WW Gross,Production Budget,Release Date,Release Year ,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Sentinel,36280697,77280697,60000000,21-Apr-06,00-10,PG-13,,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,33,6.1,23567
Grip: A Criminal's Story,1336,1336,12000,28-Apr-06,00-10,Not Rated,,JeTi Films,Original Screenplay,Action,Contemporary Fiction,,,,
R.V.,71724497,87524497,55000000,28-Apr-06,00-10,PG,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Barry Sonnenfeld,,,
Stick It,26910736,30399714,20000000,28-Apr-06,00-10,PG-13,103,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,31,5.9,9556
United 93,31567134,76366864,18000000,28-Apr-06,00-10,R,,Universal,Based on Real Life Events,Drama,Dramatization,Paul Greengrass,91,7.8,46691
Akeelah and the Bee,18848430,18948425,8000000,28-Apr-06,00-10,PG,,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,,83,7.6,8245
Water,5529144,8119205,3000000,28-Apr-06,00-10,PG-13,,Fox Searchlight,Original Screenplay,Drama,Historical Fiction,Deepa Mehta,,,
The Lost City,2484186,3650302,9600000,28-Apr-06,00-10,R,,Magnolia Pictures,Original Screenplay,Drama,Historical Fiction,Andy Garcia,,6.6,5790
Clean,138711,138711,10000,28-Apr-06,00-10,R,,Palm Pictures,Original Screenplay,Drama,Contemporary Fiction,,,,
Mission: Impossible III,133501348,397501348,150000000,5-May-06,00-10,PG-13,,Paramount Pictures,Based on TV,Action,Contemporary Fiction,J.J. Abrams,70,6.9,74174
Wu ji,669625,35869934,30000000,5-May-06,00-10,PG-13,97,Warner Independent,Original Screenplay,Action,Fantasy,,,5.6,5733
Hoot,8117637,8224998,15000000,5-May-06,00-10,PG,,New Line,Based on Book/Short Story,Comedy,Contemporary Fiction,,26,5.3,2830
An American Haunting,16298046,27844063,14000000,5-May-06,00-10,PG-13,,Freestyle Releasing,Based on Book/Short Story,Horror,Historical Fiction,,12,4.9,13510
Chinjeolhan geumjassi,211667,23471871,4500000,5-May-06,00-10,Not Rated,,Tartan Films,Original Screenplay,Thriller/Suspense,,Chan-wook Park,,7.7,19341
Poseidon,60674817,181674817,160000000,12-May-06,00-10,PG-13,,Warner Bros.,Remake,Adventure,Contemporary Fiction,Wolfgang Petersen,33,5.6,35930
Goal!,4283255,27610873,33000000,12-May-06,00-10,PG,121,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,,6.9,16809
Just My Luck,17326650,38326650,28000000,12-May-06,00-10,PG-13,,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Donald Petrie,13,5,13368
Wah-Wah,234750,463039,7000000,12-May-06,00-10,Not Rated,,IDP/Goldwyn/Roadside,,,,Richard E. Grant,,6.8,1889
See No Evil,15032800,15387513,8000000,19-May-06,00-10,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,,9,5,10035
The Da Vinci Code,217536138,757236138,125000000,19-May-06,00-10,PG-13,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ron Howard,25,6.4,116903
X-Men: The Last Stand,234362462,459359555,150000000,26-May-06,00-10,PG-13,,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Brett Ratner,57,6.9,109125
Cavite,70071,71644,7000,26-May-06,00-10,Not Rated,,Truly Indie,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,6,487
Banlieue 13,1200216,11208291,15000000,2-Jun-06,00-10,R,85,Magnolia Pictures,Original Screenplay,Action,Science Fiction,Pierre Morel,,7.1,21427
The Break Up,118806699,202944203,52000000,2-Jun-06,00-10,PG-13,,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peyton Reed,,5.9,38285
The Puffy Chair,194523,194523,15000,2-Jun-06,00-10,R,,IDP/Goldwyn/Roadside,,,,,,6.4,1701
The Omen,54607383,119607383,25000000,6-Jun-06,00-10,R,,20th Century Fox,Remake,Horror,Contemporary Fiction,,26,5.4,24523
Cars,244082982,461923762,70000000,9-Jun-06,00-10,G,,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Lasseter,74,7.5,66809
Nacho Libre,80197993,99197993,32000000,16-Jun-06,00-10,PG,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jared Hess,40,5.7,31455
Wordplay,3121270,3177636,500000,16-Jun-06,00-10,PG,,IFC Films,Based on Real Life Events,Documentary,Factual,,,7.4,2222
The Lake House,52330111,114830111,40000000,16-Jun-06,00-10,PG,,Warner Bros.,Remake,Drama,Fantasy,,36,6.8,36613
Krrish,1430721,32430721,10000000,23-Jun-06,00-10,Not Rated,,AdLab Films,Original Screenplay,Action,Science Fiction,,100,6.1,2735
Click,137355633,237555633,82500000,23-Jun-06,00-10,PG-13,,Sony Pictures,Original Screenplay,Comedy,Fantasy,Frank Coraci,32,5,133
Say Uncle,5361,5361,2000000,23-Jun-06,00-10,R,,TLA Releasing,Original Screenplay,Comedy,Contemporary Fiction,,,5.7,431
Superman Returns,200120000,391120000,232000000,28-Jun-06,00-10,PG-13,157,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Bryan Singer,76,6.6,102751
Strangers with Candy,2072645,2077844,2000000,28-Jun-06,00-10,R,,ThinkFilm,Based on TV,Comedy,Contemporary Fiction,,,5.9,4941
Fengkuang de Shitou,0,3000000,500000,30-Jun-06,00-10,,,,Original Screenplay,Comedy,Contemporary Fiction,,,7.6,1209
The Devil Wears Prada,124740460,326551094,35000000,30-Jun-06,00-10,PG-13,,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,David Frankel,75,6.8,66627
The Blood of My Brother: A Story of Death in Iraq,0,0,120000,30-Jun-06,00-10,,,Lifesize Entertainment,Based on Real Life Events,Documentary,Factual,,71,7.6,90
Pirates of the Caribbean: Dead Man's Chest,423315812,1065659812,225000000,7-Jul-06,00-10,PG-13,151,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,54,7.3,150446
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,144601,206351,1000000,7-Jul-06,00-10,PG-13,,Miramax,Based on Real Life Events,Documentary,Factual,Matt Dillon,82,7.1,643
A Scanner Darkly,5501616,7405084,20000000,7-Jul-06,00-10,R,,Warner Independent,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Richard Linklater,68,7.2,41928
"You, Me and Dupree",75802010,130402010,54000000,14-Jul-06,00-10,PG-13,,Universal,Original Screenplay,Comedy,Contemporary Fiction,,21,6.1,164
Little Man,58636047,101636047,64000000,14-Jul-06,00-10,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,12,5.7,97
Monster House,73661010,140161010,75000000,21-Jul-06,00-10,PG,,Sony Pictures,Original Screenplay,Adventure,Kids Fiction,Gil Kenan,74,6.8,20689
Clerks II,24148068,25894473,5000000,21-Jul-06,00-10,R,,MGM,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,63,7.7,56668
The Case of the Grinning Cat,7033,7033,200000,21-Jul-06,00-10,Not Rated,,First Run/Icarus,Based on Real Life Events,Documentary,Factual,,,,
Lady in the Water,42285169,72785169,75000000,21-Jul-06,00-10,PG-13,,Warner Bros.,Original Screenplay,Drama,Fantasy,M. Night Shyamalan,24,5.8,47535
Little Miss Sunshine,59891098,100523181,8000000,26-Jul-06,00-10,R,101,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,,91,8,151013
Miami Vice,63478838,163818556,135000000,28-Jul-06,00-10,R,132,Universal,Based on TV,Action,Contemporary Fiction,Michael Mann,47,6,51921
The Ant Bully,28142535,55181129,45000000,28-Jul-06,00-10,PG,,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,,63,6.2,7766
Scoop,10525717,39125717,4000000,28-Jul-06,00-10,PG-13,,Focus/Rogue Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Woody Allen,39,6.8,30336
Quinceanera,1692693,2522787,400000,2-Aug-06,00-10,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,7.1,2577
Talladega Nights: The Ballad of Ricky Bobby,148213377,163013377,73000000,4-Aug-06,00-10,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam McKay,72,6.4,50407
Barnyard: The Original Party Animals,72779000,116618084,51000000,4-Aug-06,00-10,PG,90,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Steve Oedekerk,23,,
"Bon Cop, Bad Cop",12671300,12671300,8000000,4-Aug-06,00-10,Not Rated,,Alliance,Original Screenplay,Comedy,Contemporary Fiction,,67,6.9,151
The Night Listener,7836393,10547755,4000000,4-Aug-06,00-10,R,,Miramax,Based on Real Life Events,Drama,Dramatization,,40,5.9,8437
The Descent,26024456,57029609,7000000,4-Aug-06,00-10,R,99,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,7.4,58176
World Trade Center,70278893,163278893,65000000,9-Aug-06,00-10,PG-13,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,69,6.2,34341
Zoom,11989328,12506188,35000000,11-Aug-06,00-10,PG,,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Peter Hewitt,3,3.4,7424
Step Up,65328121,115328121,12000000,11-Aug-06,00-10,PG-13,98,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Anne Fletcher,19,6.1,21691
Kabhi Alvida Naa Kehna,3275443,32575443,10750000,11-Aug-06,00-10,Not Rated,,Yash Raj Films,Original Screenplay,Drama,Contemporary Fiction,,67,5.6,4128
Casa de Areia,539285,1178175,3750000,11-Aug-06,00-10,R,,Sony Pictures Classics,Original Screenplay,Drama,Historical Fiction,,,7.5,1519
Pulse,20264436,29771485,7500000,11-Aug-06,00-10,R,,Weinstein/Dimension,Remake,Horror,Contemporary Fiction,,11,5,846
Trust the Man,1530535,2548378,9000000,18-Aug-06,00-10,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,,27,5.8,5262
The Illusionist,39868642,84276175,16500000,18-Aug-06,00-10,PG-13,110,Yari Film Group Releasing,Based on Book/Short Story,Drama,Historical Fiction,,74,7.7,92040
10th & Wolf,54702,54702,8000000,18-Aug-06,00-10,Not Rated,,ThinkFilm,Based on Real Life Events,Drama,Dramatization,Robert Moresco,19,6.3,3655
Snakes on a Plane,34020814,62020814,33000000,18-Aug-06,00-10,R,105,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,68,6,65841
The Quiet,381420,381420,900000,25-Aug-06,00-10,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,6.5,7689
Idlewild,12669914,12669914,15000000,25-Aug-06,00-10,R,121,Universal,Original Screenplay,Musical,Historical Fiction,,47,5.8,3056
Crank,27838408,33824696,12000000,1-Sep-06,00-10,R,88,Lionsgate,Original Screenplay,Action,Contemporary Fiction,,61,7.1,71094
Lage Raho Munnabhai,2217561,31517561,2700000,1-Sep-06,00-10,Not Rated,,Eros Entertainment,Original Screenplay,Comedy,Contemporary Fiction,,,7.8,5236
Mutual Appreciation,103509,103509,30000,1-Sep-06,00-10,R,,Goodbye Cruel Releasing,Original Screenplay,Comedy,Contemporary Fiction,,,7,1102
Crossover,7009668,7009668,5600000,1-Sep-06,00-10,PG-13,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,,3,1.7,7466
Tom yum goong,12044087,43044087,5700000,8-Sep-06,00-10,R,82,Weinstein Co.,Original Screenplay,Action,Contemporary Fiction,,,6.9,13929
Iraq for Sale: The War Profiteers,0,0,775000,8-Sep-06,00-10,,,,Based on Real Life Events,Documentary,Factual,,100,7.8,854
Sherrybaby,199176,622806,2000000,8-Sep-06,00-10,R,,IFC Films,Original Screenplay,Drama,Contemporary Fiction,,74,6.7,6372
The Covenant,23364784,38164784,20000000,8-Sep-06,00-10,PG-13,95,Sony/Screen Gems,Based on Comic/Graphic Novel,Thriller/Suspense,Contemporary Fiction,Renny Harlin,3,4.8,17736
Artie Lange's Beer League,475000,475000,2800000,15-Sep-06,00-10,R,,Freestyle Releasing,Original Screenplay,Comedy,Contemporary Fiction,,,,
Gridiron Gang,38432823,41480851,30000000,15-Sep-06,00-10,PG-13,126,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Phil Joanou,41,6.8,12400
The Black Dahlia,22672813,46672813,60000000,15-Sep-06,00-10,R,121,Universal,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Brian De Palma,33,5.6,35210
Jackass: Number Two,72778712,83578712,11000000,22-Sep-06,00-10,R,,Paramount Pictures,Based on TV,Comedy,Factual,,63,7.2,24434
Flyboys,13090630,14816379,60000000,22-Sep-06,00-10,PG-13,139,MGM,Based on Real Life Events,Drama,Dramatization,Tony Bill,33,6.5,13934
All the King's Men,7221458,9521458,55000000,22-Sep-06,00-10,PG-13,128,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Steven Zaillian,11,6,11994
Feast,56131,341808,3200000,22-Sep-06,00-10,R,,Weinstein/Dimension,Original Screenplay,Horror,Fantasy,,55,6.4,12023
Bandidas,0,10496317,35000000,22-Sep-06,00-10,PG-13,,20th Century Fox,Original Screenplay,Western,Historical Fiction,,62,5.6,12103
The Last King of Scotland,17606684,48363516,6000000,27-Sep-06,00-10,R,121,Fox Searchlight,Based on Book/Short Story,Drama,Dramatization,Kevin MacDonald,87,7.8,54022
Open Season,85105259,189901703,85000000,29-Sep-06,00-10,PG,87,Sony Pictures,Original Screenplay,Adventure,Kids Fiction,Roger Allers,47,6,52
School for Scoundrels,17807569,17807569,20000000,29-Sep-06,00-10,PG-13,101,MGM,Remake,Comedy,Contemporary Fiction,Todd Phillips,26,6,15536
Facing the Giants,10178331,10178331,100000,29-Sep-06,00-10,PG,,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,9,6,4901
The Queen,56441711,122840603,15000000,30-Sep-06,00-10,PG-13,103,Miramax,Based on Real Life Events,Drama,Dramatization,Stephen Frears,97,7.6,34785
Shortbus,1985292,1985292,2000000,4-Oct-06,00-10,Not Rated,,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,,66,6.7,14276
Employee of the Month,28444855,38117718,10000000,6-Oct-06,00-10,PG-13,103,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,20,5.4,17845
The Departed,133311000,290539042,90000000,6-Oct-06,00-10,R,152,Warner Bros.,Remake,Drama,Contemporary Fiction,Martin Scorsese,93,8.5,264148
Little Children,5463019,14763019,14000000,6-Oct-06,00-10,R,136,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Todd Field,79,7.8,37162
The Texas Chainsaw Massacre: The Beginning,39517763,50517763,16000000,6-Oct-06,00-10,R,90,New Line,Remake,Horror,Historical Fiction,,,5.8,20196
The Marine,18844784,22165608,15000000,13-Oct-06,00-10,PG-13,91,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,20,4.5,13157
Alex Rider: Operation Stormbreaker,659210,9351567,40000000,13-Oct-06,00-10,PG,,Weinstein Co.,Based on Book/Short Story,Action,Contemporary Fiction,,,,
One Night with the King,13395961,13395961,20000000,13-Oct-06,00-10,PG,124,Rocky Mountain Pictures,Based on Book/Short Story,Drama,Historical Fiction,Michael O. Sajbel,16,6,2993
Infamous,1151330,2613717,13000000,13-Oct-06,00-10,R,118,Warner Independent,Based on Book/Short Story,Drama,Dramatization,,72,7.1,6917
The Grudge 2,39143839,68643839,20000000,13-Oct-06,00-10,PG-13,102,Sony Pictures,Remake,Horror,Contemporary Fiction,,10,4.6,16024
Driving Lessons,239962,239962,4700000,13-Oct-06,00-10,PG-13,98,Sony Pictures Classics,,,,,48,6.7,5380
51 Birch Street,84689,84689,350000,18-Oct-06,00-10,Not Rated,,Truly Indie,,,,,97,7.4,439
Running With Scissors,6775659,7213629,12000000,20-Oct-06,00-10,R,116,Sony Pictures,Based on Book/Short Story,Comedy,Dramatization,,30,6,12926
Flags of Our Fathers,33602376,61902376,53000000,20-Oct-06,00-10,R,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,73,7.2,42788
Marie Antoinette,15962471,60862471,40000000,20-Oct-06,00-10,PG-13,,Sony Pictures,Based on Book/Short Story,Drama,Dramatization,Sofia Coppola,55,6.4,31877
Flicka,21000147,21893591,15000000,20-Oct-06,00-10,PG,94,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,,54,5.7,2832
The Prestige,53089891,107896006,40000000,20-Oct-06,00-10,PG-13,131,Walt Disney Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Christopher Nolan,75,8.4,207322
Babel,34302837,135302837,20000000,27-Oct-06,00-10,R,,Paramount Vantage,Original Screenplay,Drama,Contemporary Fiction,Alejandro Gonzalez Inarritu,69,7.6,95122
Saw III,80238724,163876815,10000000,27-Oct-06,00-10,R,107,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,25,6.3,60784
Catch a Fire,4299773,5699773,14000000,27-Oct-06,00-10,PG-13,101,Focus Features,Based on Real Life Events,Thriller/Suspense,Dramatization,Phillip Noyce,76,6.8,5959
Borat,128505958,261572744,18000000,3-Nov-06,00-10,R,83,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,Larry Charles,,7.7,3612
Flushed Away,64665672,177665672,149000000,3-Nov-06,00-10,PG,85,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72,7,21334
Volver,12899867,85599867,9400000,3-Nov-06,00-10,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,Pedro Almodovar,92,4.4,288
Unknown,26403,3080493,3700000,3-Nov-06,00-10,Not Rated,85,IFC Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,39,6.6,11986
"Secret, The",0,0,3500000,7-Nov-06,00-10,Not Rated,,,,Documentary,,,,,
Stranger Than Fiction,40435190,45235190,30000000,10-Nov-06,00-10,PG-13,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Marc Forster,72,7.8,74218
A Good Year,7459300,42064105,35000000,10-Nov-06,00-10,PG-13,118,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Ridley Scott,24,6.8,23149
Harsh Times,3337931,5963961,2000000,10-Nov-06,00-10,R,120,MGM,Original Screenplay,Drama,Contemporary Fiction,,48,7,26347
Fur,223202,2281089,16800000,10-Nov-06,00-10,R,121,Picturehouse,Based on Book/Short Story,Drama,Dramatization,,,,
Copying Beethoven,355968,355968,11000000,10-Nov-06,00-10,PG-13,104,MGM,Based on Real Life Events,Drama,Dramatization,,,6.8,5017
Come Early Morning,119452,119452,6000000,10-Nov-06,00-10,R,,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,Joey Lauren Adams,83,6.2,1511
Casino Royale,167365000,596365000,102000000,17-Nov-06,00-10,PG-13,144,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,94,8,172936
Happy Feet,198000317,385000317,85000000,17-Nov-06,00-10,PG,108,Warner Bros.,Original Screenplay,Adventure,Kids Fiction,George Miller,74,6.7,42369
For Your Consideration,5549923,5549923,12000000,17-Nov-06,00-10,PG-13,86,Warner Independent,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,50,6.2,7780
Bobby,11242801,20597806,14000000,17-Nov-06,00-10,R,120,MGM,Based on Real Life Events,Drama,Dramatization,Emilio Estevez,46,7.1,23262
The History Boys,2730296,13425589,3700000,21-Nov-06,00-10,R,,Fox Searchlight,Based on Play,Comedy,Contemporary Fiction,,63,6.7,10293
The Fountain,10144010,15461638,35000000,22-Nov-06,00-10,PG-13,96,Warner Bros.,Original Screenplay,Drama,Science Fiction,Darren Aronofsky,51,7.4,72562
Opal Dreams,14443,14443,9000000,22-Nov-06,00-10,PG,,Strand,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.5,468
D’_j_—?Vu,64038616,181038616,80000000,22-Nov-06,00-10,PG-13,126,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Tony Scott,,7,66106
Kurtlar vadisi - Irak,0,24906717,8300000,24-Nov-06,00-10,,,,Original Screenplay,Action,Contemporary Fiction,,,5.7,7936
The Nativity Story,37629831,46432264,35000000,1-Dec-06,00-10,PG,102,New Line,Based on Book/Short Story,Drama,Dramatization,Catherine Hardwicke,37,6.6,4701
Turistas,7027762,14321070,10000000,1-Dec-06,00-10,R,89,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,6.9,83
Blood Diamond,57377916,171377916,100000000,8-Dec-06,00-10,R,143,Warner Bros.,Original Screenplay,Action,Historical Fiction,Edward Zwick,62,8,118925
Apocalypto,50866635,117785051,40000000,8-Dec-06,00-10,R,136,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,Mel Gibson,64,7.9,82162
Unaccompanied Minors,16655224,21949214,25000000,8-Dec-06,00-10,PG,87,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,,3.7,4133
The Holiday,63280000,205190324,85000000,8-Dec-06,00-10,PG-13,131,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,47,6.9,48215
Eragon,75030163,249488115,100000000,15-Dec-06,00-10,PG,102,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Stefen Fangmeier,16,5,43555
Arthur et les Minimoys,15132763,110102340,80000000,15-Dec-06,00-10,PG,122,Weinstein Co.,Based on Book/Short Story,Adventure,Fantasy,Luc Besson,,5.9,7626
The Pursuit of Happyness,162586036,306086036,55000000,15-Dec-06,00-10,PG-13,116,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Gabriele Muccino,66,7.8,77939
Charlotte's Web,82985708,143985708,82500000,15-Dec-06,00-10,G,98,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,Gary Winick,78,6.7,8028
Indig’ nes,320700,6877936,18900000,15-Dec-06,00-10,Not Rated,,Weinstein Co.,Original Screenplay,Drama,Historical Fiction,,,7.2,5775
The Good German,1308696,1308696,32000000,15-Dec-06,00-10,R,104,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Soderbergh,32,6.1,13007
